trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
661197,07:02:00,07:02:00,5039,3,,,,1
661197,07:06:00,07:06:00,5040,4,,,,1
661197,07:09:00,07:09:00,5041,5,,,,1
661197,07:13:00,07:13:00,5042,6,,,,1
661197,07:16:00,07:16:00,5043,7,,,,1
661197,07:18:00,07:18:00,6248,8,,,,1
661197,07:20:00,07:20:00,5044,9,,,,1
661197,07:25:00,07:25:00,5045,10,,,,1
661197,07:27:00,07:27:00,6854,11,,,,1
661197,07:32:00,07:32:00,5036,12,,,,1
661197,07:35:00,07:35:00,58343,13,,,,1
661198,07:40:00,07:40:00,58343,1,,,,1
661198,07:41:00,07:41:00,63189,2,,,,1
661198,07:42:00,07:42:00,5039,3,,,,1
661198,07:46:00,07:46:00,5040,4,,,,1
661198,07:49:00,07:49:00,5041,5,,,,1
661198,07:53:00,07:53:00,5042,6,,,,1
661198,07:56:00,07:56:00,5043,7,,,,1
661198,07:58:00,07:58:00,6248,8,,,,1
661198,08:00:00,08:00:00,5044,9,,,,1
661198,08:05:00,08:05:00,5045,10,,,,1
661198,08:07:00,08:07:00,6854,11,,,,1
661198,08:12:00,08:12:00,5036,12,,,,1
661198,08:15:00,08:15:00,58343,13,,,,1
661199,08:20:00,08:20:00,58343,1,,,,1
661199,08:21:00,08:21:00,63189,2,,,,1
661199,08:22:00,08:22:00,5039,3,,,,1
661199,08:26:00,08:26:00,5040,4,,,,1
661199,08:29:00,08:29:00,5041,5,,,,1
661199,08:33:00,08:33:00,5042,6,,,,1
661199,08:36:00,08:36:00,5043,7,,,,1
661199,08:38:00,08:38:00,6248,8,,,,1
661199,08:40:00,08:40:00,5044,9,,,,1
661199,08:45:00,08:45:00,5045,10,,,,1
661199,08:47:00,08:47:00,6854,11,,,,1
661199,08:52:00,08:52:00,5036,12,,,,1
661199,08:55:00,08:55:00,58343,13,,,,1
661200,09:00:00,09:00:00,58343,1,,,,1
661200,09:01:00,09:01:00,63189,2,,,,1
661200,09:02:00,09:02:00,5039,3,,,,1
661200,09:06:00,09:06:00,5040,4,,,,1
661200,09:09:00,09:09:00,5041,5,,,,1
661200,09:13:00,09:13:00,5042,6,,,,1
661200,09:16:00,09:16:00,5043,7,,,,1
661200,09:18:00,09:18:00,6248,8,,,,1
661200,09:20:00,09:20:00,5044,9,,,,1
661200,09:25:00,09:25:00,5045,10,,,,1
661200,09:27:00,09:27:00,6854,11,,,,1
661200,09:32:00,09:32:00,5036,12,,,,1
661200,09:35:00,09:35:00,58343,13,,,,1
661201,09:40:00,09:40:00,58343,1,,,,1
661201,09:42:00,09:42:00,63189,2,,,,1
661201,09:43:00,09:43:00,5039,3,,,,1
661201,09:46:00,09:46:00,5040,4,,,,1
661201,09:49:00,09:49:00,5041,5,,,,1
661201,09:53:00,09:53:00,5042,6,,,,1
661201,09:56:00,09:56:00,5043,7,,,,1
661201,09:58:00,09:58:00,6248,8,,,,1
661201,10:00:00,10:00:00,5044,9,,,,1
661201,10:05:00,10:05:00,5045,10,,,,1
661201,10:07:00,10:07:00,6854,11,,,,1
661201,10:12:00,10:12:00,5036,12,,,,1
661201,10:15:00,10:15:00,58343,13,,,,1
661203,10:20:00,10:20:00,58343,1,,,,1
661203,10:21:00,10:21:00,63189,2,,,,1
661203,10:22:00,10:22:00,5039,3,,,,1
661203,10:26:00,10:26:00,5040,4,,,,1
661203,10:29:00,10:29:00,5041,5,,,,1
661203,10:33:00,10:33:00,5042,6,,,,1
661203,10:36:00,10:36:00,5043,7,,,,1
661203,10:40:00,10:40:00,6248,8,,,,1
661203,10:42:00,10:42:00,5044,9,,,,1
661203,10:45:00,10:45:00,5045,10,,,,1
661203,10:47:00,10:47:00,6854,11,,,,1
661203,10:52:00,10:52:00,5036,12,,,,1
661203,10:55:00,10:55:00,58343,13,,,,1
661204,11:00:00,11:00:00,58343,1,,,,1
661204,11:01:00,11:01:00,63189,2,,,,1
661204,11:02:00,11:02:00,5039,3,,,,1
661204,11:06:00,11:06:00,5040,4,,,,1
661204,11:09:00,11:09:00,5041,5,,,,1
661204,11:13:00,11:13:00,5042,6,,,,1
661204,11:16:00,11:16:00,5043,7,,,,1
661204,11:18:00,11:18:00,6248,8,,,,1
661204,11:20:00,11:20:00,5044,9,,,,1
664485,11:35:00,11:35:00,5042,1,,,,1
664485,11:38:00,11:38:00,5043,2,,,,1
